number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_num_seeds_per_spm,params_seed_impactMax,params_seed_minPt,params_seed_sigmaScattering,system_attrs_NSGAIISampler:generation,state
81,25.090226531028748,12.54204660654068,0.0,30.84256362915039,2026-07-22 01:05:09.124012,2026-07-22 01:05:43.157153,0 days 00:00:34.033141,57,5.999679277488342,1.9922363851646139,4.232027350798905,1,COMPLETE
82,88.53760361671448,20.691777765750885,0.0,58.474348306655884,2026-07-22 01:05:37.574599,2026-07-22 01:06:38.284871,0 days 00:01:00.710272,9,3.154769988252978,0.6981730801118182,3.0993556084637444,1,COMPLETE
83,84.69756245613098,21.796613931655884,0.01235635718330741,72.20938658714294,2026-07-22 01:05:43.174294,2026-07-22 01:06:58.635766,0 days 00:01:15.461472,14,7.028213804723255,0.4069204596520615,6.896432446547806,1,COMPLETE
84,37.08676099777222,11.815181374549866,0.0,28.760863304138184,2026-07-22 01:05:43.377251,2026-07-22 01:06:16.476705,0 days 00:00:33.099454,9,2.2020779518995504,1.4463187234022452,3.0993556084637444,1,COMPLETE
85,42.68803298473358,22.879880666732788,0.0,115.95164561271667,2026-07-22 01:05:44.952685,2026-07-22 01:07:43.280640,0 days 00:01:58.327955,60,5.738372023015548,1.536713172601758,7.427875948134881,1,COMPLETE
86,50.75790286064148,28.728535771369934,0.0,134.9765510559082,2026-07-22 01:05:48.518898,2026-07-22 01:08:05.396667,0 days 00:02:16.877769,73,6.583508970323382,1.3063005618757155,5.417273741910885,1,COMPLETE
87,78.01356911659241,20.38821429014206,0.0,60.37374782562256,2026-07-22 01:06:01.693268,2026-07-22 01:07:03.989297,0 days 00:01:02.296029,10,6.045793579856688,0.820104256115399,4.273146866814161,1,COMPLETE
88,74.43337440490723,18.103966116905212,0.0,46.382209062576294,2026-07-22 01:06:16.490341,2026-07-22 01:07:05.920543,0 days 00:00:49.430202,10,5.929574593869691,0.8380897254934068,7.877470803621222,1,COMPLETE
89,53.399741649627686,25.90326964855194,0.0,108.5916919708252,2026-07-22 01:06:38.300321,2026-07-22 01:08:29.445951,0 days 00:01:51.145630,32,4.984584639091279,1.2511512880040903,5.287590611254931,1,COMPLETE
90,28.150713443756104,11.429812759160995,0.0,49.77881860733032,2026-07-22 01:06:45.296569,2026-07-22 01:07:37.519316,0 days 00:00:52.222747,7,4.815327864525012,1.9149951539682333,6.701980139716164,1,COMPLETE
91,73.24960231781006,42.91927516460419,0.010607828880893067,129.24961686134338,2026-07-22 01:06:58.653560,2026-07-22 01:09:11.073046,0 days 00:02:12.419486,61,7.66593846827967,0.9208728133805069,3.468350614061392,1,COMPLETE
92,45.22881507873535,21.912918984889984,0.0,111.82622838020325,2026-07-22 01:07:04.005678,2026-07-22 01:08:57.678356,0 days 00:01:53.672678,60,3.176218661614254,1.4796757087925647,8.025188040220149,1,COMPLETE
93,88.39324116706848,27.979731559753418,0.011015641939593479,84.94693183898926,2026-07-22 01:07:05.937719,2026-07-22 01:08:34.517531,0 days 00:01:28.579812,20,2.430003696446035,0.47595709558937505,8.14611057536063,1,COMPLETE
94,87.6714289188385,35.179346799850464,0.009854158270172775,212.63604068756104,2026-07-22 01:07:37.535613,2026-07-22 01:11:12.334135,0 days 00:03:34.798522,30,9.778578414341775,0.4544549932008023,6.075776392940638,1,COMPLETE
95,81.1895489692688,39.00338411331177,0.0,170.76708841323853,2026-07-22 01:07:43.296999,2026-07-22 01:10:35.792092,0 days 00:02:52.495093,47,3.6699716318201236,0.8419743004250093,5.263744703805234,1,COMPLETE
96,55.88277578353882,26.6630619764328,0.0,88.13122081756592,2026-07-22 01:07:50.146023,2026-07-22 01:09:20.140427,0 days 00:01:29.994404,23,9.99684158589129,1.1825429745596934,4.416219982059779,1,COMPLETE
97,88.91295194625854,35.727229714393616,0.009537434380035847,255.57089853286743,2026-07-22 01:08:05.411604,2026-07-22 01:12:23.032127,0 days 00:04:17.620523,47,4.815327864525012,0.3101560884869254,5.263744703805234,1,COMPLETE
98,89.57701921463013,46.54251039028168,0.008097165846265852,213.86799025535583,2026-07-22 01:08:29.461330,2026-07-22 01:12:05.468052,0 days 00:03:36.006722,61,2.8856599779972165,0.6621030384857014,5.287590611254931,1,COMPLETE
99,63.66392374038696,22.375041246414185,0.0,68.76619672775269,2026-07-22 01:08:34.532660,2026-07-22 01:09:46.771618,0 days 00:01:12.238958,21,3.176218661614254,1.0874394205689006,8.025188040220149,1,COMPLETE
100,87.00736165046692,23.239269852638245,0.0,105.54040503501892,2026-07-22 01:08:57.694474,2026-07-22 01:10:45.121324,0 days 00:01:47.426850,16,9.99684158589129,0.3595718332541455,2.321129318942707,1,COMPLETE
101,59.318608045578,34.85008180141449,0.0,122.1445300579071,2026-07-22 01:09:11.089713,2026-07-22 01:11:16.683493,0 days 00:02:05.593780,78,7.412631196638135,1.167175942168368,5.393318402470238,1,COMPLETE
102,89.62032794952393,47.8814572095871,0.007861017365939915,252.02765703201294,2026-07-22 01:09:20.155129,2026-07-22 01:13:34.567907,0 days 00:04:14.412778,65,3.722477834600866,0.6886936320347221,7.427875948134881,1,COMPLETE
103,88.59534859657288,37.78046667575836,0.018620240734890103,191.57288002967834,2026-07-22 01:09:46.788055,2026-07-22 01:13:01.866939,0 days 00:03:15.078884,48,9.909243914694663,0.3162666130838224,3.0993556084637444,1,COMPLETE
104,72.08026647567749,28.74477505683899,0.0,98.37231111526489,2026-07-22 01:10:35.807944,2026-07-22 01:12:16.129263,0 days 00:01:40.321319,21,9.572186189403297,0.9344701232632517,4.819111443654539,1,COMPLETE
105,89.20167684555054,45.166364312171936,0.008276775042759255,217.0958993434906,2026-07-22 01:10:45.136334,2026-07-22 01:14:24.421718,0 days 00:03:39.285384,51,9.473369685265999,0.6980705630905657,6.873535337591807,1,COMPLETE
106,29.940810799598694,14.819182455539703,0.0,86.1866819858551,2026-07-22 01:11:12.347614,2026-07-22 01:12:40.515435,0 days 00:01:28.167821,35,3.1194675988224096,1.9922363851646139,8.914254155656284,1,COMPLETE
107,88.24887871742249,39.678558707237244,0.009290226444136351,92.13248682022095,2026-07-22 01:11:16.697407,2026-07-22 01:12:51.997313,0 days 00:01:35.299906,28,8.949276453434754,0.7184510103017717,3.030603104395846,1,COMPLETE
108,40.334922075271606,15.154184401035309,0.0,70.6664662361145,2026-07-22 01:12:05.482546,2026-07-22 01:13:18.542680,0 days 00:01:13.060134,43,1.5645212585886275,1.564085267664426,9.716791345900031,1,COMPLETE
109,59.231990575790405,23.443354666233063,0.0,91.36156392097473,2026-07-22 01:12:16.143204,2026-07-22 01:13:49.337315,0 days 00:01:33.194111,26,2.8391604778306823,1.14596316944432,5.294643898306258,1,COMPLETE
110,51.75400376319885,21.93952053785324,0.0,105.40904235839844,2026-07-22 01:12:23.047448,2026-07-22 01:14:10.314097,0 days 00:01:47.266649,53,2.430003696446035,1.3045235964350037,7.012917753810589,1,COMPLETE
111,46.51364088058472,11.604095250368118,0.0,40.20676374435425,2026-07-22 01:12:40.531998,2026-07-22 01:13:22.924558,0 days 00:00:42.392560,3,9.706184223439493,1.1914689206214601,2.321129318942707,1,COMPLETE
112,57.745057344436646,22.17913269996643,0.0,63.934946060180664,2026-07-22 01:12:52.012032,2026-07-22 01:13:59.040713,0 days 00:01:07.028681,20,9.470530338659694,1.1914689206214601,8.14611057536063,1,COMPLETE
113,33.43438804149628,17.391304671764374,0.0,43.18046545982361,2026-07-22 01:13:01.881266,2026-07-22 01:13:49.047480,0 days 00:00:47.166214,21,7.428804290379601,1.6908296700278385,4.819111443654539,1,COMPLETE
114,88.99956941604614,48.86089861392975,0.007775444828439504,192.184077501297,2026-07-22 01:13:18.558857,2026-07-22 01:16:33.139312,0 days 00:03:14.580455,48,9.909243914694663,0.6980705630905657,3.0993556084637444,2,COMPLETE
115,88.09008002281189,23.087024688720703,0.0,123.96492385864258,2026-07-22 01:13:22.940432,2026-07-22 01:15:29.061776,0 days 00:02:06.121344,16,1.081817835936449,0.3984961558369401,8.025188040220149,2,COMPLETE
116,44.694674015045166,8.564946055412292,0.0,31.473563194274902,2026-07-22 01:13:34.583960,2026-07-22 01:14:08.120235,0 days 00:00:33.536275,3,5.173282583004196,1.1914689206214601,6.540945825945748,2,COMPLETE
117,87.5703752040863,35.657331347465515,0.019447685917839408,198.42680883407593,2026-07-22 01:13:49.063041,2026-07-22 01:17:11.511623,0 days 00:03:22.448582,36,6.28485260311759,0.3984961558369401,8.025188040220149,2,COMPLETE
118,87.5415027141571,36.48518621921539,0.0,134.9053716659546,2026-07-22 01:13:49.352540,2026-07-22 01:16:08.222223,0 days 00:02:18.869683,35,6.223897328319099,0.4519896127793178,9.752906406191205,2,COMPLETE
119,89.41822052001953,51.50420069694519,0.007373543485300615,166.54927015304565,2026-07-22 01:13:59.055611,2026-07-22 01:16:49.264318,0 days 00:02:50.208707,76,3.7672722331787383,0.6370736237537533,2.943528067756758,2,COMPLETE
120,89.85130786895752,38.879722356796265,0.009167583630187437,149.58184838294983,2026-07-22 01:14:08.136251,2026-07-22 01:16:39.978398,0 days 00:02:31.842147,31,4.2256176430122245,0.5043662664809249,4.208851981590963,2,COMPLETE
121,89.57701921463013,46.54251039028168,0.008097165846265852,218.7888102531433,2026-07-22 01:14:10.329660,2026-07-22 01:17:50.940121,0 days 00:03:40.610461,61,2.8856599779972165,0.6621030384857014,5.287590611254931,2,COMPLETE
122,88.43654990196228,36.809757351875305,0.00960338074946776,150.19924402236938,2026-07-22 01:14:24.437739,2026-07-22 01:16:57.692000,0 days 00:02:33.254261,30,9.778578414341775,0.6077759439195285,6.896432446547806,2,COMPLETE
123,89.54814672470093,50.56530833244324,0.007438262400683016,203.2487587928772,2026-07-22 01:15:29.078543,2026-07-22 01:18:56.569445,0 days 00:03:27.490902,47,9.776569501829279,0.6370736237537533,2.943528067756758,2,COMPLETE
124,88.01789879798889,18.067334592342377,0.0,74.16772317886353,2026-07-22 01:16:08.237574,2026-07-22 01:17:24.399977,0 days 00:01:16.162403,8,1.2773358635717913,0.4799020965817473,4.416219982059779,2,COMPLETE
125,86.05456948280334,18.36629807949066,0.0,56.401981592178345,2026-07-22 01:16:33.156149,2026-07-22 01:17:32.754905,0 days 00:00:59.598756,10,4.67627842666276,0.3984961558369401,4.2081422698915345,2,COMPLETE
126,60.64674258232117,33.90108942985535,0.0,111.81817817687988,2026-07-22 01:16:39.994954,2026-07-22 01:18:36.901646,0 days 00:01:56.906692,57,5.999679277488342,1.111949293510355,4.232027350798905,2,COMPLETE
